ID;PAGE_ID;NAME;DISPLAY_NAME;DATA_TYPE;LENGTH;SCALE;SEARCHABLE;FILTERABLE;TYPE;CONFIGURABLE;CUSTOM;DEFAULT
1212;102;MAX_LENGTH;RESOURCE_MAXIMUM_LENGTH;DECIMAL;18;4;1;0;0;1;0;1
1213;102;VOLUME;RESOURCE_VOLUME;DECIMAL;18;4;1;0;0;1;0;1
1214;102;TEU_COUNT;RESOURCE_EQUIVALENT_TEUS;INTEGER ;0;0;1;0;0;1;0;1
1215;102;BUILT_DATE;RESOURCE_DATE_OF_BUILT;DATE;0;0;1;0;0;1;0;1
1216;102;OWNERSHIP;OWNERSHIP;VARCHAR;10;0;1;1;0;0;0;1
1217;102;MOVEMENT_STATUS_CODE;RESOURCE_MOVEMENT_STATUS;VARCHAR;40;0;1;1;0;0;0;1
1218;102;MOVEMENT_STATUS;RESOURCE_MOVEMENT_STATUS_DESC;VARCHAR;40;0;1;1;0;1;0;1
1219;102;LOADING_STATUS;RESOURCE_LOADING_STATUS;VARCHAR;40;0;1;1;0;1;0;1
1220;102;RESOURCE_CONDITION;RESOURCE_CONDITION;VARCHAR;2;0;1;1;0;0;0;1
1221;102;FOOD_GRADE;RESOURCE_FOOD_GRADE;VARCHAR;2;0;1;1;0;0;0;1
1222;102;LAST_CARGO;RESOURCE_LAST_CARGO;VARCHAR;30;0;1;1;0;1;0;1
1223;102;CURRENT_RESPONSIBLE_TU;RESOURCE_CURRENT_RESPONSIBLE_TU;VARCHAR;20;0;1;1;0;1;0;1
1224;102;CURRENT_RESPONSIBLE_TU_TYPE;RESOURCE_CURRENT_RESPONSIBLE_TU_TYPE;VARCHAR;60;0;1;1;0;1;0;1
1225;102;LAST_ASSIGNED_TOR;RESOURCE_LAST_ASSIGNED_ORDER;VARCHAR;20;0;1;1;0;1;0;1
1226;102;CURRENT_LOCATION;RESOURCE_CURRENT_LOCATION;VARCHAR;40;0;1;1;0;0;0;1
1227;102;LAST_LOCATION;RESOURCE_LAST_LOCATION;VARCHAR;22;0;1;1;0;1;0;1
1228;102;NEXT_STOP;RESOURCE_NEXT_STOP;VARCHAR;22;0;1;1;0;1;0;1
1229;102;FINAL_DESTINATION;RESOURCE_FINAL_DESTINATION;VARCHAR;22;0;1;1;0;1;0;1
1230;102;IDLE_DAYS;RESOURCE_IDLE_DAYS;INTEGER;0;0;1;0;0;1;0;1
1231;102;LEASING_ID;RESOURCE_LEASING_ID;VARCHAR;20;0;1;1;0;0;0;1
1232;102;MAX_WIDTH;RESOURCE_MAXIMUM_WIDTH;DECIMAL;13;3;1;0;0;1;0;1
1233;102;MAX_HEIGHT;RESOURCE_MAXIMUM_HEIGHT;DECIMAL;13;3;1;0;0;1;0;1
1234;102;VENTILATED;RESOURCE_VENTILATED;NVARCHAR;1;0;1;1;0;1;0;1
1235;102;TEMP_CONTROL;RESOURCE_TEMPERATURE_INDICATOR;NVARCHAR;1;0;1;1;0;1;0;1
1236;102;TEMP_CTRL_MIN;RESOURCE_MIN_CONTROL_TEMPERATURE;DECIMAL;7;2;1;0;0;1;0;1
1237;102;TEMP_CTRL_MAX;RESOURCE_MAX_CONTROL_TEMPERATURE;DECIMAL;7;2;1;0;0;1;0;1
1238;102;SHIPPER_OWNED;RESOURCE_SHIPPER_OWNED;NVARCHAR;1;0;1;1;0;1;0;1
1239;102;SPECIAL_INSTRUCTION;RESOURCE_SPECIAL_INSTRUCTIONS;NVARCHAR;3;0;1;1;0;1;0;1
1240;102;EXTNL_CLADDING;RESOURCE_EXTERNAL_CLADDING;NVARCHAR;5;0;1;1;0;1;0;1
1241;102;CNTRL_ATM;RESOURCE_CNTRL_ATM;NVARCHAR;5;0;1;1;0;1;0;1
